path	scope	kind	ext	bytes	lines	empty
.github/workflows/deploy-docs.yml	.github	file	yml	570	31	no
.github/workflows/validate.yml	.github	file	yml	604	32	no
AGENTS.md	root-config	file	md	991	13	no
README.md	root-config	file	md	1534	56	no
library/ontologies/document-types/enforcement-actions/jurisdictions/se/enforcement-actions.md	library	file	md	1789	95	no
library/ontologies/document-types/enforcement-actions/jurisdictions/se/examples/enforcement-actions/Svea.md	library	file	md	1641	118	no
library/ontologies/document-types/enforcement-actions/jurisdictions/se/examples/enforcement-actions/Svea_bank.md	library	file	md	1889	100	no
library/ontologies/document-types/enforcement-actions/jurisdictions/se/examples/enforcement-actions/enforcement-action-Svea-Bank.md	library	file	md	836	46	no
library/ontologies/document-types/enforcement-actions/jurisdictions/se/examples/enforcement-actions/se-example-001.md	library	file	md	699	37	no
library/ontologies/document-types/legislation/jurisdictions/EU/law.json	library	file	json	1349	70	no
library/ontologies/document-types/legislation/jurisdictions/Sweden/law.json	library	file	json	1638	79	no
library/ontologies/document-types/legislation/law.md	library	file	md	288	11	no
library/taxonomy/AML/_templates/concept_template.md	library	file	md	199	18	no
library/taxonomy/AML/_templates/enforcement_action_template.md	library	file	md	349	28	no
library/taxonomy/AML/_templates/provision_template.md	library	file	md	145	16	no
library/taxonomy/AML/concepts/general_risk_assessment/general_risk_assessment.md	library	file	md	250	16	no
library/taxonomy/AML/concepts/general_risk_assessment/subconcepts/general_risk_assessment_product/general_risk_assessment_product.md	library	file	md	0	0	yes
library/taxonomy/AML/map/Denmark/Denmark.md	library	file	md	0	0	yes
library/taxonomy/AML/map/Denmark/legislation/Hvidvaskloven (Lov nr. 651 af 8. juni 2017, as amended)/Level_1/Chapter_1/Chapter_1.md	library	file	md	0	0	yes
library/taxonomy/AML/map/Denmark/legislation/Hvidvaskloven (Lov nr. 651 af 8. juni 2017, as amended)/Level_1/Chapter_1/Level_2/Paragraph_1/Level_3/Stycke_1/Stycke_1.md	library	file	md	0	0	yes
library/taxonomy/AML/map/Denmark/legislation/Hvidvaskloven (Lov nr. 651 af 8. juni 2017, as amended)/Level_1/Chapter_1/Level_2/Paragraph_1/Paragraph_1.md	library	file	md	0	0	yes
library/taxonomy/AML/map/EU/EU.md	library	file	md	0	0	yes
library/taxonomy/AML/map/EU/legislation/Directive (EU) 2015-849/Level_1/Chapter_1/Chapter_1.md	library	file	md	0	0	yes
library/taxonomy/AML/map/EU/legislation/Directive (EU) 2015-849/Level_1/Chapter_1/Level_2/Paragraph_1/Level_3/Stycke_1/Stycke_1.md	library	file	md	0	0	yes
